stock,adf,hurst,momentum returns,reversion returns
A,1,0.5673222778362154,2.2460668231206626,2.471752953008325
AA,1,0.615510967323122,-2.9515127452640217,10.150904800960687
AAL,1,0.5917736481692956,-5.365650725844898,4.133955954720299
AAON,1,0.6431485945452078,4.612646137073226,1.6904848306132536
AAP,1,0.658138528851153,-0.32555817453681896,0.1135296894119998
AAPL,1,0.4859797000540425,2.234993405159243,1.947203441236036
AAT,1,0.6465329002167746,0.9671801813066292,nan
AB,1,0.6430153666907952,2.1818913461167435,0.12080003121185878
ABB,1,0.5808023181846769,-0.22775778991047596,-10.243102806558486
ABBV,1,0.4003587801176169,-0.16435281213003167,0.9535186555239432
ABC,1,0.5762022756121788,0.436351985153728,5.188458330628967
ABCB,1,0.5704787268757897,-0.7304392382492723,10.97326431682403
ABCL,1,0.5191897764444758,0.48845013645275176,5.124805989319016
ABCM,1,0.4093447563405232,3.3246120707568863,-0.13810350958576556
ABEV,1,0.6227576646991797,-0.4383557463345462,4.477615599106959
ABG,1,0.5403081972688709,1.9237522374062974,-6.833507533761807
ABM,1,0.6011697419447534,0.3636162413334959,4.577267897015636
ABMD,1,0.4103566022075889,-1.3980947692963321,1.0717325296039266
ABNB,1,0.4592404171602795,-0.9175310937059824,7.22420779720324
ABR,1,0.5851264654948359,0.3998208481968937,0.7493768162956927
ABT,1,0.5590821544350377,1.5145417472795373,5.2002485735612645
ACA,0,0.2270643772700678,-1.4028380374536256,3.3310675580395603
ACAD,1,0.5980049055568217,4.908973399369596,-7.926830557668958
ACC,1,0.53994890686794,2.2316959181766984,4.144870100017122
ACGL,1,0.5937395781626387,0.10903382496400893,1.654171087927279
ACH,1,0.5953474506582376,0.17448236519843435,-8.357143402099588
ACHC,1,0.6159318600441643,-0.6891351643323386,8.628557350240582
ACI,1,0.3452661605719962,8.081175984292903,14.363246412335087
ACIW,0,0.338923183702294,0.8016655504948703,0.18981770247689234
ACM,1,0.6658253150485167,0.38266363182459845,-2.3157908504170583
ACN,1,0.6015645452346112,4.567302055326125,1.812704746979547
ADBE,1,0.5263585391213268,3.85769128388853,0.16720432739238547
ADC,1,0.49672083201336314,-0.4218450956026339,-1.5195151902594468
ADI,1,0.31200478217441563,-0.7858462000194069,6.512121457787706
ADM,1,0.652256909871384,0.8819744010323627,2.916666106281131
ADNT,1,0.5286458886718278,-2.7786846967833814,6.581503053800275
ADP,1,0.653538200397198,3.0685770577790157,-2.5154797149530626
ADSK,1,0.43240715396763857,-0.6668124734594666,0.5564340263621517
ADT,1,0.4799686113718853,-2.2167494087454096,0.4807716417374536
ADX,1,0.6147063213518005,-0.5234110871124008,2.3876012361479235
AEE,1,0.6134475328808358,0.35741633080584884,0.35465151764625724
AEG,1,0.4796603308135039,2.6221273697652854,-1.8386090811031333
AEIS,1,0.36885838452095193,-3.7045799133931347,-1.5900025931590702
AEL,0,0.4096770330123116,2.0551957859380154,6.055483585477385
AEM,1,0.5329566098299501,-3.126722343368324,-0.5428587136457277
AEO,1,0.6704178250025329,-5.848408472471921,0.20444651884018972
AEP,1,0.5751450553499565,-1.265695087738291,3.3544518388114404
AER,1,0.5879443063251973,1.172773170226741,2.1613065287897033
AES,0,0.33128930407092433,-0.5202710197668442,4.635339726445735
AFG,1,0.6925542903728784,-1.0614964556822961,0.8507982774506709
AFL,1,0.7284849137490738,1.7825434581590205,0.03620647691263926
AFRM,1,0.6090459901046631,11.642652577443851,nan
AG,0,0.4250688072174997,-3.3675789993800755,-1.4722240905702355
AGCO,1,0.5863023345579297,-2.1159488620391826,0.2710807156945163
AGI,1,0.45865254377661085,-3.850993536966204,1.8893401860604473
AGNC,1,0.5987946527846131,-1.9678798253230891,0.3197950262026365
AGO,1,0.7005280118139331,2.7284547736064853,7.989270966758818
AGR,1,0.5513823836680797,-0.5321189086256147,-1.6624769889735609
AIG,1,0.6650632577106834,2.45833451237942,2.0533411995678574
AIMC,1,0.4017622008363275,-4.532182929042007,2.2760712099284404
AIN,1,0.5722017256340125,0.370501030894706,1.3328312509037934
AIRC,1,0.5982839848739847,1.2157840440267955,0.8506088746240129
AIT,1,0.6064249708918753,-1.3654427043665254,4.869551854201807
AIZ,1,0.622364839370753,-0.7590303980390541,0.056216090917183915
AJG,1,0.7400077834053366,0.38478819905694445,nan
AJRD,1,0.5060612413511342,-1.342027972874708,-4.387835058501728
AKAM,1,0.47419349909909453,-0.51924752059998,-8.963949262828168
AL,1,0.4679424460976791,0.14310892311786416,1.1893311128840087
ALB,1,0.3954126573684096,4.061288901347133,2.4587986040749947
ALC,1,0.3901050962481994,1.8664933588636943,4.801924726551494
ALE,1,0.3650699288092878,0.16892671878399101,-5.5648331010544085
ALGM,1,0.46959130839812,2.006705970830587,1.4556993236336608
ALGN,1,0.333756162873664,1.7457319827403457,3.4447028659555388
ALGT,1,0.6097096749062095,-3.412086118118883,1.8033562534452998
ALIT,1,0.4958906670863005,2.499655328588414,1.2546467526292684
ALK,1,0.5765029614458907,-4.469050906305287,3.4431980438631187
ALKS,1,0.48497825490244534,3.295301803827657,-27.302740864310376
ALL,1,0.6963891550717445,-1.0297986981838254,-5.632339065549998
ALLE,1,0.6591843957914039,-1.167726615463373,-0.9025620245601976
ALLY,1,0.6923091511478215,-1.6182501860659206,-0.6026904842603953
ALNY,1,0.43196582925227917,-2.2895552654363214,5.019636523485651
ALRM,1,0.5542522403334463,-0.438951020129857,5.020285286451825
ALSN,1,0.3038548625198317,-1.2318103000467924,-0.940993300712769
ALTR,1,0.34610009867552705,2.4693036650226823,3.5814053053054815
